Uuid,Void/Retire,Name
5650eb5e-97e5-45ed-8b61-46920d3bbc43,TRUE,Normal Saline 0.45%
63e5f917-ce97-47c4-8423-126bd798636e,TRUE,Normal Saline 0.9%
4125aa3e-4b43-41c2-99a3-00bb71978084,TRUE,Nystatin 100000U/g
e5574e71-17ea-434f-8649-eba766be4087,TRUE,Nystatin creme vaginale 100000UI/g
9e1837cf-0e08-41b0-90c0-11bdd0c4c046,TRUE,Nystatin Sirop 100000UI
c10cc9b5-c1ec-4d73-9192-9dc6b40e16f9,TRUE,Omeprazole Co 20mg
9762b8c0-bdba-49ed-ae32-0290a04e8ab9,TRUE,Ondansetron
3171aeb3-5475-4ea2-b662-531f0c732716,TRUE,Ophtalmide Gouttes
c3e48c79-8b02-4442-9480-8f656a353b89,TRUE,Othorinol Gouttes 30mg
d16da6ff-03e6-49d3-998c-c4c0e77d811f,TRUE,Otocare Gouttes
5668deaf-9459-42df-bea8-db378f0d38f6,TRUE,Oxycodone
77497f60-8ff1-4508-bf74-00944e5c030d,TRUE,Oxycodone/Acetaminophen 5mg+325mg
88ebec22-c9c9-4e5a-8111-f44a70c7f2a0,TRUE,Paracetamol 100mg
4607589d-1293-45c9-98db-283da2bef419,TRUE,Paracetamol 300mg
fbf74fd6-b37c-4325-86cb-dcaf4aabed81,TRUE,Paracetamol 500mg
637499ff-1c54-4722-ba57-3e41b3d22a49,TRUE,Permethrin
78e814ac-0974-41cc-8283-4487ccf32370,TRUE,Prednisone Co 5mg
84945f45-3a3c-4d57-bc34-b474cf7ad612,TRUE,Prevacid 15mg
b73ac801-cf29-4e21-a2b2-a5288222d34c,TRUE,Prevacid 30mg
0adc85cf-de4e-4c4b-a483-d8586f19626b,TRUE,Prilosec 20mg
7a1398d1-4667-4123-8633-db03f53299c2,TRUE,Primaquine Co 7.5mg
57b30902-bce2-4279-ac22-b6d3fe5a4308,TRUE,Primaquine Sirop
5a244df6-7cee-44da-89b0-f9bf732ffbed,TRUE,Proscar 1mg
1baa0c9d-5c1b-4673-bc8b-732c556c7c68,TRUE,Proscar 5mg
45395ed4-63b2-43d2-af2a-23f4dc8e1b9e,TRUE,Protonix 20mg
7a4861ec-81ab-4989-95b6-df5a9bd16651,TRUE,Protonix 40mg
83d3ac4b-1aa8-40bb-83dd-7381a2876dc1,TRUE,Proventil
0ade342f-abe3-4195-bcf4-16e2b502da26,TRUE,Proventil 2.5mg
e61b5364-5d97-40bd-9557-a555f232fc43,TRUE,Proventil 200mcg
b8655f3b-ec83-418a-b767-54c053fbd743,TRUE,Proventil 400mcg
0ba092a4-3fc1-4d45-a2cb-c7eaf95d6ebd,TRUE,Pulmicort
08128635-a443-42af-9b5d-32a2132cef06,TRUE,Pulmicort 90mcg
c9544877-0a60-462f-9b7c-c8bb57380831,TRUE,Pulmicort Flexhaler 180mcg
70e97a3d-0084-400a-aace-50b50dc04ed4,TRUE,Pulmicort Flexhaler 360mcg
01999b32-4e32-4a7b-92b9-515185f60e21,TRUE,Ranitidine Injection vial 50mg
b5b194a3-efc9-47b0-8406-db87092c23e2,TRUE,Rapidal Plus 162.5mg+100mg
667682cc-6731-4784-acdc-c7fb7c98d15a,TRUE,RH
62a34f17-e83c-4dbc-b53b-9a7f9478501a,TRUE,RHEZ
79c12ca2-0755-4bf4-b509-8c72239536f9,TRUE,Ringer Lactate
3d215e2e-0560-4afc-9023-e1d1088bf484,TRUE,Robitussin Adult 200mg/5ml
0f4627ca-7bb4-414f-a07e-5d24c0d3a442,TRUE,Salbutamol Co 4mg
3099b446-010e-426a-ba02-bf62f1077f2e,TRUE,Salbutamol Pompe
d39b535c-9a32-49c1-b339-e512d811c44d,TRUE,Salbutamol Sirop 2mg/5 ml
bc56515a-cfb0-4dcd-a6e6-351e3bf1154c,TRUE,Saline flush 0.9%
311f1a89-0c75-4b34-bc88-00f2edee9400,TRUE,Senokot 17mg
e5e8b45b-83db-4a9d-8cd4-398c4e8081fa,TRUE,Simvastatin Co 20mg
45e91fa2-5458-4d2f-854b-11f08eb12801,TRUE,Solu-Medrol 125mg/5ml
18ce1953-f81d-4443-8b81-c3ec6d891767,TRUE,Sorbacid Sirop 375mg
dfc7e569-4e44-4b11-bc7f-4d0d7b768fd4,TRUE,Spiriva
cd228fc7-699d-4d47-a11f-9e72c8e940f1,TRUE,Spiriva HandiHaler 18mcg
88b343c0-a9e9-4b45-b57e-cc7014ab7f34,TRUE,Sulfacetamide 0.1
b0918013-25be-420f-b133-a76fbedb3406,TRUE,Symbicort 160mcg+4.5mcg
a8c6dff1-2d10-4002-8adc-f9a1a86b611a,TRUE,Tetracycline
fa34b226-60bf-4597-8047-72e2b5ef549b,TRUE,Tetracycline 500mg
ff3576e9-5c64-432a-9cc4-de46e808a290,TRUE,Tetracycline Ophtalmique
2b6dca2c-1499-4724-8648-42d996a57c6d,TRUE,Tilvit Sirop
d3916ced-81fa-455f-bac7-f0afed65d9b1,TRUE,Tobradex 0.3%+0.1%
2f6bc24e-bd9e-4520-a6ba-f999ef7cbafd,TRUE,Tolnoftate 1%
85000244-5a6c-4ad5-98c1-49f7eaf69fc5,TRUE,Tramadol Injection vial 100mg
80aded9f-32f0-4d5d-800c-043508f65ad8,TRUE,Trazidex Onguent Ophtalmique
e42af6eb-e624-402e-bb26-ff2540a390d0,TRUE,Tudorza Pressair 400mcg
fc882328-40ef-4fa3-852f-81f69fcf954f,TRUE,Tums
7c61da9b-9c70-484f-8da7-ca9a45aa56f9,TRUE,Ultracet 37.5mg+325mg
28dc1ebd-945e-4795-9060-5c60ffb5a577,TRUE,Ultram 50mg
5449d13a-591f-4840-9739-870966625f0f,TRUE,Valtrex 1g
1f543777-ea62-4cd5-b0b8-76edfca2b736,TRUE,Virufen forte Sirop
827f6978-a666-4c58-8218-7388fdcc6fa3,TRUE,Visine 0.05%
8a54b957-8c4d-4ab6-9e42-575bf5b7be83,TRUE,Vitamin A
52128175-f648-4a4b-bb2d-4d7a97ea4b6e,TRUE,Vitamin B12 1000mcg
c5e1437f-e7d9-4016-8ceb-ce70056b6c8e,TRUE,Vitamin C Co 500mg
85580d71-7bef-415c-8b88-4168285ace82,TRUE,Vitamin C Gouttes 100mg/ml
ac6c90a6-1070-4ef7-a24a-8a668367b1fa,TRUE,Vitamin C Sirop 500mg/5ml
481e357d-6c45-4c8a-beec-6d8f858f2552,TRUE,Vitamine B-Complex Co
af3fce1f-dcb1-4f76-ad4c-b8ebda43070c,TRUE,Vitamine B-Complex Injection
