Uuid,Void/Retire,Fully specified name:en,Data class,Data type
,FALSE,PHENAYLEPHRINE 2 MG 100 ML,Drug,N/A
,FALSE,PHENAZOPYRIDINE 100 MG,Drug,N/A
,FALSE,PHENYLEPHRINE 5 MG AND CHLOROPHENERAMINE 2 MG,Drug,N/A
,FALSE,PIPERAZINE 0.128 GR,Drug,N/A
,FALSE,PIROXICAM 20 MG,Drug,N/A
,FALSE,POLYMYXIN B SULFATE,Drug,N/A
,FALSE,POVIDONE IODINE 10 %,Drug,N/A
,FALSE,PREDNISOLONE 15 MG 5 ML,Drug,N/A
,FALSE,PREDNISOLONE 20 MG,Drug,N/A
,FALSE,PREDNISOLONE 5 MG,Drug,N/A
,FALSE,PREDNISOLONE ACETATE 0.1 %,Drug,N/A
,FALSE,PROPYLTHIOURACIL 50 MG,Drug,N/A
,FALSE,PSEUDOEFPHEDRINE 30,Drug,N/A
,FALSE,PYRIDOXINE,Drug,N/A
,FALSE,PYRIDOXINE 50 MG,Drug,N/A
,FALSE,PYRILAMINE 25 MG,Drug,N/A
,FALSE,Pseudoephedrine 120 MG,Drug,N/A
,FALSE,Pseudoephedrine 15 MG,Drug,N/A
,FALSE,Pseudoephedrine 30 MG,Drug,N/A
,FALSE,Pseudoephedrine 30MG 100 ML,Drug,N/A
,FALSE,Pseudoephedrine 30MG 5 ML,Drug,N/A
,FALSE,RIVAROXABAN 10 MAG,Drug,N/A
,FALSE,RIVAROXABAN 20 MAG,Drug,N/A
,FALSE,ROSUVASTATIN 10 MG,Drug,N/A
,FALSE,ROSUVASTATIN 20 MG,Drug,N/A
,FALSE,SACUBITRIL 24.3 MG,Drug,N/A
,FALSE,SACUBITRIL 48.6 MG,Drug,N/A
,FALSE,SALBUTAMOL,Drug,N/A
,FALSE,SALBUTAMOL 2 %,Drug,N/A
,FALSE,SALBUTAMOL 2 MG,Drug,N/A
,FALSE,SILVER SULFADIAZINE 1 %,Drug,N/A
,FALSE,SITAGLIPTIN 100 MG,Drug,N/A
,FALSE,SOLIFENACIN 6 MG,Drug,N/A
,FALSE,SPIRONOLACTONE 25 MG,Drug,N/A
,FALSE,Simethicone,Drug,N/A
,FALSE,Sulfamethoxazole 200 MG,Drug,N/A
,FALSE,Sulfamethoxazole 400 MG,Drug,N/A
,FALSE,TAMSULOSIN 0.4 MG,Drug,N/A
,FALSE,TAMSULOSIN HCL 0.4 MG,Drug,N/A
,FALSE,TETRACYCLINE EYE,Drug,N/A
,FALSE,TETRAHYDROZOLINE 0.05 %,Drug,N/A
,FALSE,TIEMONIUM METHY SULPHATE ANTI-SPASMODIC 5 MG 2 ML,Drug,N/A
,FALSE,TIMOLOL 0.15 %,Drug,N/A
,FALSE,TINIDAZOLE 500 MG,Drug,N/A
,FALSE,TRANEXAMIC ACID 500 MG,Drug,N/A
,FALSE,TRETINOIN 0.025 %,Drug,N/A
,FALSE,TRIPROLIDINE,Drug,N/A
,FALSE,TRIPROLIDINE 1.25,Drug,N/A
,FALSE,TRIPROLIDINE HCL 1.25 MG,Drug,N/A
,FALSE,Terbinafine 250 MG,Drug,N/A
,FALSE,Terbutaline,Drug,N/A
,FALSE,Terconazole 0.4 %,Drug,N/A
,FALSE,Triamcinolone,Drug,N/A
,FALSE,Trimethoprim 40 MG,Drug,N/A
,FALSE,Trimethoprim 80 MG,Drug,N/A
,FALSE,VALSARTAN,Drug,N/A
,FALSE,VALSARTAN 160 MG,Drug,N/A
,FALSE,VALSARTAN 160/ AMLODIPINE 10 MG,Drug,N/A
,FALSE,VALSARTAN 160/ AMLODIPINE 5 MG,Drug,N/A
,FALSE,VALSARTAN 25.7 MG,Drug,N/A
,FALSE,VALSARTAN 51.4 MG,Drug,N/A
,FALSE,VALSARTAN 80 MG,Drug,N/A
,FALSE,VALSARTAN 80/ AMLODIPINE 5 MG,Drug,N/A
,FALSE,VILDAGLIPTIN,Drug,N/A
,FALSE,VILDAGLIPTIN 50 MG,Drug,N/A
,FALSE,VIT D3,Drug,N/A
